grant_id,project_title,faculty_name,institution,award_amount,start_date,abstract
7202609,Conference on Computational Needs and Resources in          Crystallography,Martin A Paul,National Research Council,5000.0,03/15/1972,Research project focused on Conference on Computational Needs and Resources in          Crystallography at National Research Council.
7202610,International Council of Scientific Union Abstracting Board,Unknown Faculty,National Academy of Sciences,28533.0,04/01/1972,Research project focused on International Council of Scientific Union Abstracting Board at National Academy of Sciences.
7202611,U.S. Participation in the Proposed International Institute  Of Applied Systems Analysis,Augustus Nasmith,National Academy of Sciences,11254500.0,04/01/1972,Research project focused on U.S. Participation in the Proposed International Institute  Of Applied Systems Analysis at National Academy of Sciences.
7202612,Fourteenth General Assembly of the International Union of   Pure and Applied Physics,Unknown Faculty,National Research Council,33000.0,03/15/1972,Research project focused on Fourteenth General Assembly of the International Union of   Pure and Applied Physics at National Research Council.
7202613,Precoordinated Subsystems For Building,DATA NOT AVAILABLE,National Academy of Sciences,15000.0,04/15/1972,Research project focused on Precoordinated Subsystems For Building at National Academy of Sciences.
7202614,Joint Symposium on Science Policy With Bulgarian Academy of Sciences,Unknown Faculty,National Academy of Sciences,22800.0,05/01/1972,Research project focused on Joint Symposium on Science Policy With Bulgarian Academy of Sciences at National Academy of Sciences.
7202615,Development of a Comprehensive Roster of Doctorates in the  Sciences and Engineering,Betty D Maxfield,National Research Council,1499583.0,04/01/1972,Research project focused on Development of a Comprehensive Roster of Doctorates in the  Sciences and Engineering at National Research Council.
7202616,Final Study Period of the Brab/New Haven Onsite   Solid WastE Research Program,Jeremy Taylor,National Research Council,146100.0,04/01/1972,Research project focused on Final Study Period of the Brab/New Haven Onsite   Solid WastE Research Program at National Research Council.
7202617,"Travel to Attend- Fourth International Biophysics Congress, Ussr, August 1972",Unknown Faculty,National Research Council,6000.0,05/15/1972,"Research project focused on Travel to Attend- Fourth International Biophysics Congress, Ussr, August 1972 at National Research Council."
7202618,"Travel to Attend- Sixth International Congress on           Photobiology, Germany, August 1972",Unknown Faculty,National Research Council,12000.0,05/15/1972,"Research project focused on Travel to Attend- Sixth International Congress on           Photobiology, Germany, August 1972 at National Research Council."
7202619,A Study of Priorities For Research Applied to National Needs,Michah H Naftalin,National Academy of Engineering,450400.0,05/01/1972,Research project focused on A Study of Priorities For Research Applied to National Needs at National Academy of Engineering.
7202621,Study of Inborn Errors of Metabolism (Siem),Charles L Dunham,National Academy of Engineering,169400.0,06/01/1972,Research project focused on Study of Inborn Errors of Metabolism (Siem) at National Academy of Engineering.
7202622,U.S. Exhibit For the International Geographical Congress,DATA NOT AVAILABLE,National Research Council,4657.0,05/01/1972,Research project focused on U.S. Exhibit For the International Geographical Congress at National Research Council.
7202623,"Support of United States Participation in the Second        International Conference on Permafrost, Yakutsk, Ussr, July 1973",Robert M Dillon,National Research Council,101493.0,04/01/1972,"Research project focused on Support of United States Participation in the Second        International Conference on Permafrost, Yakutsk, Ussr, July 1973 at National Research Council."
7202624,"Support of U.S. Participation in the Xvth General Assembly  Of the International Astronomical Union- August 1973,       Extraordinary General Assembly- September 1973",DATA NOT AVAILABLE,National Research Council,41000.0,06/01/1972,"Research project focused on Support of U.S. Participation in the Xvth General Assembly  Of the International Astronomical Union- August 1973,       Extraordinary General Assembly- September 1973 at National Research Council."
7202625,Exchange of Scientists Between the United States and the    People's Republic of China,Anne Keatley,National Academy of Sciences,1073500.0,07/01/1972,Research project focused on Exchange of Scientists Between the United States and the    People's Republic of China at National Academy of Sciences.
7202626,Study Conference on Social and Behavioral Science,Unknown Faculty,National Research Council,41300.0,04/01/1972,Research project focused on Study Conference on Social and Behavioral Science at National Research Council.
7202627,Partial Support of U.S. Participation in the Thirteenth     General Assembly and Congress of the International Union ForTheoretical and Applied Mechanics,George W Wood,National Research Council,11000.0,07/01/1972,Research project focused on Partial Support of U.S. Participation in the Thirteenth     General Assembly and Congress of the International Union ForTheoretical and Applied Mechanics at National Research Council.
7202628,Conference on Critical Evaluation of Chemical and Physical  Structural Information,Unknown Faculty,National Research Council,16800.0,09/01/1972,Research project focused on Conference on Critical Evaluation of Chemical and Physical  Structural Information at National Research Council.
7202629,Partial Support of the Ocean Science Freedom Task Group,Unknown Faculty,National Research Council,16600.0,09/01/1972,Research project focused on Partial Support of the Ocean Science Freedom Task Group at National Research Council.
7202630,College Undergraduate Instructional Program,Mario R Schaffner,Exotech Systems Inc,11829.0,09/09/1971,Research project focused on College Undergraduate Instructional Program at Exotech Systems Inc.
7202631,Preparation of a Series of Tables Showing Information on    Traineeship Departmental Data,Jeremy Taylor,Exotech Systems Inc,9688.0,09/28/1971,Research project focused on Preparation of a Series of Tables Showing Information on    Traineeship Departmental Data at Exotech Systems Inc.
7202632,Task Order For Processing Fy 1971 Trainee Personal Data     Forms,Jeremy Taylor,Exotech Systems Inc,10338.0,11/02/1971,Research project focused on Task Order For Processing Fy 1971 Trainee Personal Data     Forms at Exotech Systems Inc.
7202633,Task Order For Data Processing and Tabulation of Student    Participant Data For 1970 and 1971 Sstp and Supplementary   Programs,Unknown Faculty,Exotech Systems Inc,36463.0,06/01/1972,Research project focused on Task Order For Data Processing and Tabulation of Student    Participant Data For 1970 and 1971 Sstp and Supplementary   Programs at Exotech Systems Inc.
7202635,Contract Nsf-C433 Continuation of Task Order No 12,Unknown Faculty,Exotech Systems Inc,142164.0,07/01/1972,Research project focused on Contract Nsf-C433 Continuation of Task Order No 12 at Exotech Systems Inc.
7202636,Preparation of a Map of the Arctic Basin,Miklos Pinther,American Geographical Society,82535.0,03/01/1972,Research project focused on Preparation of a Map of the Arctic Basin at American Geographical Society.
7202639,Control of High Voltage Discharges in Vacuum Insulated      Cryocables,D. B Montgomery,Massachusetts Institute of Technology,316100.0,06/01/1972,Research project focused on Control of High Voltage Discharges in Vacuum Insulated      Cryocables at Massachusetts Institute of Technology.
7202640,Magnetic Fields Produced By Steady Currents in Human and    Animal Bodies,David Cohen,Massachusetts Institute of Technology,326900.0,07/01/1972,Research project focused on Magnetic Fields Produced By Steady Currents in Human and    Animal Bodies at Massachusetts Institute of Technology.
7202641,Magneplane (Guided Electromagnetic Flight),Richard D Thornton,Massachusetts Institute of Technology,392700.0,06/20/1972,Research project focused on Magneplane (Guided Electromagnetic Flight) at Massachusetts Institute of Technology.
